Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissement;Nom de la commune;Code INSEE de la commune;Secteur;Effectifs;IPS;Ecart-type de l'IPS
2023-2024;LYON;001;AIN;0010002X;COLLEGE SAINT EXUPERY;AMBERIEU EN BUGEY;01004;public;630;96.6;35.5
2023-2024;LYON;001;AIN;0010040N;COLLEGE LOUIS VUITTON;SAINT TRIVIER DE COURTES;01388;public;258;94.6;24.1
2023-2024;LYON;001;AIN;0010088R;COLLEGE PRIVE JEANNE D ARC;GEX;01173;privé sous contrat;909;144.0;28.3
2023-2024;LYON;001;AIN;0010092V;COLLEGE PRIVE SAINT JOSEPH;OYONNAX;01283;privé sous contrat;490;110.0;33.6
2023-2024;LYON;001;AIN;0010895T;COLLEGE;MONTREVEL EN BRESSE;01266;public;738;106.7;31.6
2023-2024;LYON;001;AIN;0010896U;COLLEGE INTERNATIONAL;FERNEY VOLTAIRE;01160;public;921;128.0;38.2
2023-2024;LYON;001;AIN;0010938P;COLLEGE LES COTES;PERONNAS;01289;public;594;99.1;32.6
2023-2024;LYON;001;AIN;0011067E;COLLEGE SABINE ZLATIN;BELLEY;01034;public;824;98.7;33.0
2023-2024;LYON;001;AIN;0011068F;COLLEGE XAVIER BICHAT;NANTUA;01269;public;362;90.4;33.2
2023-2024;LYON;001;AIN;0011142L;COLLEGE MARCEL AYME;DAGNEUX;01142;public;536;108.2;33.1
2023-2024;LYON;001;AIN;0011151W;COLLEGE PRIVE SAINT JOSEPH;MIRIBEL;01249;privé sous contrat;333;137.4;30.2
2023-2024;LYON;001;AIN;0011193S;COLLEGE LEON MARIE FOURNET;JASSANS RIOTTIER;01194;public;549;106.3;34.5
2023-2024;LYON;001;AIN;0011301J;COLLEGE LE JORAN;PREVESSIN MOENS;01313;public;753;120.2;33.4
2023-2024;LYON;001;AIN;0011333U;COLLEGE YVON MORANDAT;SAINT DENIS LES BOURG;01344;public;501;102.3;32.5
2023-2024;AMIENS;002;AISNE;0020002S;COLLEGE LOUIS SANDRAS;ANIZY LE GRAND;02018;public;505;99.7;31.5
2023-2024;AMIENS;002;AISNE;0020017H;COLLEGE LEOPOLD SENGHOR;CORBENY;02215;public;383;94.3;29.4
2023-2024;AMIENS;002;AISNE;0020018J;COLLEGE LEON DROUSSENT;COUCY LE CHATEAU AUFFRIQUE;02217;public;361;88.8;28.9
2023-2024;AMIENS;002;AISNE;0020024R;COLLEGE ANNE DE MONTMORENCY;FERE EN TARDENOIS;02305;public;505;90.6;27.8
2023-2024;AMIENS;002;AISNE;0020029W;COLLEGE ALEXANDRE DUMAS;VILLENEUVE SUR AISNE;02360;public;366;104.8;31.1
2023-2024;AMIENS;002;AISNE;0020067M;COLLEGE CONDORCET;VERVINS;02789;public;411;90.3;29.4
2023-2024;AMIENS;002;AISNE;0020075W;COLLEGE GEORGES COBAST;HIRSON;02381;public;415;81.5;28.7
2023-2024;AMIENS;002;AISNE;0020483P;COLLEGE PRIVE JEANNE D ARC;GUISE;02361;privé sous contrat;131;105.4;27.5
2023-2024;AMIENS;002;AISNE;0021489H;COLLEGE CHARLES DE GAULLE;MONTCORNET;02502;public;180;82.1;25.0
2023-2024;AMIENS;002;AISNE;0021491K;COLLEGE MAURICE WAJSFELNER;CUFFIES;02245;public;410;98.2;32.5
2023-2024;AMIENS;002;AISNE;0021492L;COLLEGE GERARD PHILIPE;SOISSONS;02722;public;484;65.6;17.1
2023-2024;AMIENS;002;AISNE;0021518P;COLLEGE MARIE DE LUXEMBOURG;LA FERE;02304;public;405;86.7;28.1
2023-2024;AMIENS;002;AISNE;0021598B;COLLEGE JEAN MERMOZ;LAON;02408;public;608;94.5;33.0
2023-2024;AMIENS;002;AISNE;0021661V;COLLEGE VILLARD DE HONNECOURT;FRESNOY LE GRAND;02334;public;373;86.0;29.3
2023-2024;AMIENS;002;AISNE;0021663X;COLLEGE CESAR SAVART;SAINT MICHEL;02684;public;206;87.8;27.4
2023-2024;AMIENS;002;AISNE;0021686X;COLLEGE FROEHLICHER;SISSONNE;02720;public;437;86.5;28.2
2023-2024;AMIENS;002;AISNE;0021691C;COLLEGE SAINT JUST;SOISSONS;02722;public;485;91.0;33.5
2023-2024;AMIENS;002;AISNE;0021724N;COLLEGE JEAN RACINE;CHATEAU THIERRY;02168;public;607;103.2;32.6
2023-2024;CLERMONT-FERRAND;003;ALLIER;0030004N;COLLEGE ACHILLE ALLIER;BOURBON L ARCHAMBAULT;03036;public;245;105.7;34.7
2023-2024;CLERMONT-FERRAND;003;ALLIER;0030017C;COLLEGE JOSEPH HENNEQUIN;GANNAT;03118;public;385;102.9;32.2
2023-2024;CLERMONT-FERRAND;003;ALLIER;0030018D;COLLEGE GEORGE SAND;HURIEL;03128;public;254;99.5;28.7
2023-2024;CLERMONT-FERRAND;003;ALLIER;0030022H;COLLEGE DE LA COMBRAILLE;MARCILLAT EN COMBRAILLE;03161;public;102;102.4;32.9
2023-2024;CLERMONT-FERRAND;003;ALLIER;0030042E;COLLEGE FRANCOIS RABELAIS;NERIS LES BAINS;03195;public;240;112.2;32.6
2023-2024;CLERMONT-FERRAND;003;ALLIER;0030047K;COLLEGE ALAIN FOURNIER;VALLON EN SULLY;03297;public;194;91.7;24.6
2023-2024;CLERMONT-FERRAND;003;ALLIER;0030070K;COLLEGE PRIVE SAINT DOMINIQUE;VICHY;03310;privé sous contrat;372;127.5;33.7
2023-2024;CLERMONT-FERRAND;003;ALLIER;0030081X;COLLEGE PRIVE SAINT BENOIT;MOULINS;03190;privé sous contrat;269;107.1;29.1
2023-2024;CLERMONT-FERRAND;003;ALLIER;0030892D;COLLEGE BLAISE DE VIGENERE;SAINT POURCAIN SUR SIOULE;03254;public;441;96.2;30.4
2023-2024;CLERMONT-FERRAND;003;ALLIER;0030956Y;COLLEGE LOUIS ARAGON;DOMERAT;03101;public;358;99.6;30.8
2023-2024;AIX-MARSEILLE;004;ALPES-DE-HAUTE-PROVENCE;0040002F;COLLEGE DU PAYS DE BANON;BANON;04018;public;156;104.1;26.5
2023-2024;AIX-MARSEILLE;004;ALPES-DE-HAUTE-PROVENCE;0040013T;COLLEGE LE MONT D OR;MANOSQUE;04112;public;306;86.5;33.1
2023-2024;AIX-MARSEILLE;004;ALPES-DE-HAUTE-PROVENCE;0040017X;COLLEGE MAXIME JAVELLY;RIEZ;04166;public;285;99.4;30.1
2023-2024;AIX-MARSEILLE;004;ALPES-DE-HAUTE-PROVENCE;0040022C;COLLEGE GASSENDI;DIGNE LES BAINS;04070;public;595;108.1;32.6
2023-2024;AIX-MARSEILLE;004;ALPES-DE-HAUTE-PROVENCE;0040419J;COLLEGE ANDRE HONNORAT;BARCELONNETTE;04019;public;335;107.0;32.4
2023-2024;NICE;006;ALPES-MARITIMES;0060008B;COLLEGE L EAU VIVE;BREIL SUR ROYA;06023;public;101;95.7;30.4
2023-2024;NICE;006;ALPES-MARITIMES;0060050X;COLLEGE VALERI;NICE;06088;public;763;100.5;32.6
2023-2024;NICE;006;ALPES-MARITIMES;0060066P;COLLEGE SAINT BLAISE;SAINT SAUVEUR SUR TINEE;06129;public;161;102.4;28.9
2023-2024;NICE;006;ALPES-MARITIMES;0060083H;COLLEGE FERSEN;ANTIBES;06004;public;526;108.8;32.3
2023-2024;NICE;006;ALPES-MARITIMES;0060795G;COLLEGE SIDNEY BECHET;ANTIBES;06004;public;407;102.1;30.6
2023-2024;NICE;006;ALPES-MARITIMES;0060799L;COLLEGE LES MURIERS;CANNES;06029;public;775;84.2;27.9
2023-2024;NICE;006;ALPES-MARITIMES;0060823M;COLLEGE PRIVE SAINT PHILIPPE NERI;ANTIBES;06004;privé sous contrat;229;126.6;30.8
2023-2024;NICE;006;ALPES-MARITIMES;0060838D;COLLEGE SIMONE VEIL;NICE;06088;public;489;75.9;22.8
2023-2024;NICE;006;ALPES-MARITIMES;0060841G;COLLEGE JEAN HENRI FABRE;NICE;06088;public;728;88.5;29.2
2023-2024;NICE;006;ALPES-MARITIMES;0060842H;COLLEGE PIERRE BERTONE;ANTIBES;06004;public;742;106.5;32.1
2023-2024;NICE;006;ALPES-MARITIMES;0061002G;COLLEGE ALPHONSE DAUDET;NICE;06088;public;595;92.9;30.7
2023-2024;NICE;006;ALPES-MARITIMES;0061006L;COLLEGE HENRI MATISSE;NICE;06088;public;1052;124.3;34.9
2023-2024;NICE;006;ALPES-MARITIMES;0061130W;COLLEGE PAUL LANGEVIN;CARROS;06033;public;825;96.7;32.4
2023-2024;NICE;006;ALPES-MARITIMES;0061131X;COLLEGE MAURICE JAUBERT;NICE;06088;public;794;67.9;16.4
2023-2024;NICE;006;ALPES-MARITIMES;0061133Z;COLLEGE LA FONTONNE;ANTIBES;06004;public;410;109.1;32.5
2023-2024;NICE;006;ALPES-MARITIMES;0061238N;COLLEGE ANDRE MAUROIS;MENTON;06083;public;668;99.6;27.7
2023-2024;NICE;006;ALPES-MARITIMES;0061342B;COLLEGE CAPRON;CANNES;06029;public;478;97.5;32.1
2023-2024;NICE;006;ALPES-MARITIMES;0061376N;COLLEGE LA COLLE SUR LOUP;LA COLLE SUR LOUP;06044;public;682;127.1;34.9
2023-2024;NICE;006;ALPES-MARITIMES;0061457B;COLLEGE PRIVE STANISLAS;CANNES;06029;privé sous contrat;1018;134.2;31.6
2023-2024;NICE;006;ALPES-MARITIMES;0061666D;COLLEGE DES BAOUS;SAINT JEANNET;06122;public;846;124.9;34.2
2023-2024;NICE;006;ALPES-MARITIMES;0061824A;COLLEGE GUILLAUME VENTO;MENTON;06083;public;756;96.9;30.7
2023-2024;NICE;006;ALPES-MARITIMES;0061853G;COLLEGE LE PRE DES ROURES;LE ROURET;06112;public;698;120.5;35.9
2023-2024;NICE;006;ALPES-MARITIMES;0061924J;COLLEGE LES MIMOSAS;MANDELIEU LA NAPOULE;06079;public;604;111.9;33.9
2023-2024;NICE;006;ALPES-MARITIMES;0061925K;COLLEGE NIKI DE SAINT PHALLE;VALBONNE;06152;public;815;143.2;32.1
2023-2024;GRENOBLE;007;ARDECHE;0070011Z;COLLEGE CHARLES DE GAULLE;GUILHERAND GRANGES;07102;public;635;113.2;33.0
2023-2024;GRENOBLE;007;ARDECHE;0070012A;COLLEGE VALLEE DE LA BEAUME;JOYEUSE;07110;public;281;105.5;28.7
2023-2024;GRENOBLE;007;ARDECHE;0070060C;COLLEGE PRIVE SACRE COEUR;ANNONAY;07010;privé sous contrat;693;115.9;30.4
2023-2024;GRENOBLE;007;ARDECHE;0070872K;COLLEGE DU VIVARAIS;LAMASTRE;07129;public;187;100.9;29.3
2023-2024;GRENOBLE;007;ARDECHE;0071246S;COLLEGE BERNARD DE VENTADOUR;PRIVAS;07186;public;952;104.5;33.1
2023-2024;REIMS;008;ARDENNES;0080016Z;COLLEGE MARIE HELENE CARDOT;DOUZY;08145;public;335;93.5;28.5
2023-2024;REIMS;008;ARDENNES;0080017A;COLLEGE LES AURAINS;FUMAY;08185;public;236;88.5;28.3
2023-2024;REIMS;008;ARDENNES;0080079T;COLLEGE FRED SCAMARONI;CHARLEVILLE MEZIERES;08105;public;272;85.9;30.6
2023-2024;REIMS;008;ARDENNES;0080826E;COLLEGE LE LAC;SEDAN;08409;public;284;70.7;20.7
2023-2024;REIMS;008;ARDENNES;0080897G;COLLEGE ROBERT DE SORBON;RETHEL;08362;public;342;95.1;31.7
2023-2024;REIMS;008;ARDENNES;0080948M;COLLEGE GIVET;GIVET;08190;public;338;92.2;30.9
2023-2024;REIMS;008;ARDENNES;0080949N;COLLEGE GEORGE SAND;REVIN;08363;public;313;86.0;27.5
2023-2024;REIMS;008;ARDENNES;0080994M;COLLEGE PRIVE NOTRE DAME;CHARLEVILLE MEZIERES;08105;privé sous contrat;362;126.9;28.6
2023-2024;REIMS;008;ARDENNES;0080995N;COLLEGE PRIVE MABILLON;SEDAN;08409;privé sous contrat;499;113.7;30.0
2023-2024;REIMS;008;ARDENNES;0081098A;COLLEGE ANDREE VIENOT;ROCROI;08367;public;193;90.6;29.0
2023-2024;TOULOUSE;009;ARIEGE;0090023B;COLLEGE DU GIRBET;SAVERDUN;09282;public;325;103.6;30.3
2023-2024;TOULOUSE;009;ARIEGE;0090055L;COLLEGE PIERRE BAYLE;PAMIERS;09225;public;619;100.3;30.2
2023-2024;TOULOUSE;009;ARIEGE;0090573Z;COLLEGE MIREPOIX;MIREPOIX;09194;public;472;101.2;31.9
2023-2024;TOULOUSE;009;ARIEGE;0090591U;COLLEGE PRIVE NOTRE DAME;PAMIERS;09225;privé sous contrat;327;118.9;29.7
2023-2024;REIMS;010;AUBE;0100008E;COLLEGE AMADIS JAMYN;CHAOURCE;10080;public;169;104.9;28.7
2023-2024;REIMS;010;AUBE;0100011H;COLLEGE JEAN MOULIN;MARIGNY LE CHATEL;10224;public;333;98.7;24.0
2023-2024;REIMS;010;AUBE;0100051B;COLLEGE PRIVE SAINT LOUP;MESNIL SAINT LOUP;10237;privé sous contrat;110;107.8;31.4
2023-2024;REIMS;010;AUBE;0100058J;COLLEGE PRIVE SAINT DOMINIQUE SAVIO;SAINT JULIEN LES VILLAS;10343;privé sous contrat;306;112.8;31.5
2023-2024;REIMS;010;AUBE;0100665U;COLLEGE DE LA VOIE CHATELAINE;ARCIS SUR AUBE;10006;public;554;96.4;28.4
2023-2024;REIMS;010;AUBE;0100745F;COLLEGE PRIVE HENRI BRETON;BAR SUR SEINE;10034;privé sous contrat;164;101.4;22.8
