numero_uai,date_ouverture,date_fermeture,nature_uai,nature_uai_libe
0500359U,1966-11-23,1988-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500370F,1966-11-23,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500383V,1966-11-23,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500421L,1966-11-24,1981-12-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500432Y,1966-11-24,1995-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500443K,1966-11-24,1999-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500453W,1966-11-24,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500460D,1966-11-26,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500475V,1966-12-22,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500481B,1966-12-20,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500509G,1966-12-22,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500527B,1966-12-28,1999-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500532G,1966-12-22,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500537M,1966-12-23,2018-08-31,101,ECOLE MATERNELLE
0500557J,1966-12-23,1992-09-09,151,ECOLE DE NIVEAU ELEMENTAIRE
0500559L,1966-12-23,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500569X,1966-12-27,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500579H,1966-12-27,2007-08-31,101,ECOLE MATERNELLE
0500590V,1966-12-29,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500598D,1966-12-29,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500614W,1966-12-29,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500616Y,1966-12-29,1994-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500666C,1967-01-02,1989-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500669F,1967-01-03,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500674L,1967-01-03,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500711B,1967-01-03,2013-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500728V,1966-01-03,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500769P,1967-01-06,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500818T,1967-01-13,2013-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500866V,1967-01-13,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500914X,1967-01-14,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500983X,1967-01-12,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501007Y,1967-01-09,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501047S,1966-12-19,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501061G,1966-12-19,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501081D,1966-12-19,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501133K,1966-12-20,1996-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501167X,1966-11-16,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501212W,1968-12-04,2012-09-30,320,LYCEE PROFESSIONNEL
0501304W,1968-09-04,2016-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501317K,1968-06-24,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501336F,1968-06-24,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501339J,1968-09-09,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501340K,1968-09-17,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501348U,1968-09-04,2006-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501384H,1968-09-17,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501416T,1971-04-29,2002-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501421Y,1971-06-09,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501422Z,1971-06-09,2008-08-31,101,ECOLE MATERNELLE
0501436P,1971-09-06,2010-08-31,101,ECOLE MATERNELLE
0501452G,1972-09-29,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501475G,1973-09-07,2011-08-31,101,ECOLE MATERNELLE
0501531T,1976-05-28,2005-08-31,101,ECOLE MATERNELLE
0501537Z,1976-05-28,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501549M,1976-09-16,1989-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501550N,1976-09-20,2007-08-31,101,ECOLE MATERNELLE
0501553S,1976-09-16,1994-08-31,101,ECOLE MATERNELLE
0501555U,1976-09-30,2013-08-31,101,ECOLE MATERNELLE
0501620P,1978-09-01,2009-08-31,101,ECOLE MATERNELLE
0501660H,1979-09-01,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501751G,1982-09-01,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501776J,1983-09-01,2017-08-31,101,ECOLE MATERNELLE
0501781P,1983-09-01,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501804P,1985-09-01,2001-08-31,101,ECOLE MATERNELLE
0501822J,1986-09-03,2020-08-31,101,ECOLE MATERNELLE
0501874R,1990-09-01,1997-08-31,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE
0501910E,1993-09-01,1998-08-31,336,SECTION ENSEIGNT TECHNO (1ER CYCLE)
0501914J,1994-09-01,1998-08-31,336,SECTION ENSEIGNT TECHNO (1ER CYCLE)
0510045X,1968-10-01,1995-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510064T,1965-05-01,1979-08-31,320,LYCEE PROFESSIONNEL
0510069Y,1965-11-17,2012-08-31,320,LYCEE PROFESSIONNEL
0510076F,1978-09-01,1993-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510134U,1965-09-14,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510156T,1965-09-14,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510175N,1965-09-14,1988-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510238G,1965-09-14,2010-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510242L,1965-09-14,2009-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510274W,1965-09-14,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510286J,1965-09-14,2000-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
