,index,annee,code_etablissement,etablissement,ville,commune,academie,departement,secteur_public_1_prive_2,taux_brut_de_reussite_total_secteurs,UniqueIndex
0,0,2021,0010032E,LYCEE XAVIER BICHAT (GENERAL ET TECHNO.),NANTUA,01269,LYON,AIN,public,98.0,0010032E2021
1,1,2021,0010075B,LYCEE SAINT JOSEPH,MIRIBEL,01249,LYON,AIN,privé sous contrat,100.0,0010075B2021
2,2,2021,0011119L,LYCEE ARBEZ CARME (GENERAL ET TECHNO.),BELLIGNAT,01031,LYON,AIN,public,97.0,0011119L2021
3,3,2021,0011276G,LYCEE DU VAL DE SAONE,TREVOUX,01427,LYON,AIN,public,97.0,0011276G2021
4,4,2021,0020032Z,LYCEE PAUL CLAUDEL,LAON,02408,AMIENS,AISNE,public,96.0,0020032Z2021
5,5,2021,0020034B,LYCEE PIERRE MECHAIN (GENERAL ET TECHNO.),LAON,02408,AMIENS,AISNE,public,97.0,0020034B2021
6,6,2021,0020059D,LYCEE GERARD DE NERVAL,SOISSONS,02722,AMIENS,AISNE,public,99.0,0020059D2021
7,7,2021,0021870X,LYCEE SAINT CHARLES,CHAUNY,02173,AMIENS,AISNE,privé sous contrat,100.0,0021870X2021
8,8,2021,0021873A,LYCEE ST JEAN LA CROIX,ST QUENTIN,02691,AMIENS,AISNE,privé sous contrat,99.0,0021873A2021
9,9,2021,0021874B,LYCEE SAINT REMY,SOISSONS,02722,AMIENS,AISNE,privé sous contrat,99.0,0021874B2021
10,10,2021,0021939X,LYCEE JULES VERNE (GENERAL ET TECHNO.),CHATEAU THIERRY,02168,AMIENS,AISNE,public,98.0,0021939X2021
11,11,2021,0030026M,LYCEE PAUL CONSTANS (GENERAL ET TECHNO.),MONTLUCON,03185,CLERMONT-FERRAND,ALLIER,public,97.0,0030026M2021
12,12,2021,0031082K,LYCEE VALERY LARBAUD (GENERAL ET TECHNO.),CUSSET,03095,CLERMONT-FERRAND,ALLIER,public,95.0,0031082K2021
13,13,2021,0040010P,LYCEE FELIX ESCLANGON,MANOSQUE,04112,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,public,96.0,0040010P2021
14,14,2021,0040023D,LYCEE PAUL ARENE (GENERAL ET TECHNO.),SISTERON,04209,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,public,98.0,0040023D2021
15,15,2021,0040490L,LYCEE PIERRE-GILLES DE GENNES,DIGNE LES BAINS,04070,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,public,99.0,0040490L2021
16,16,2021,0040533H,LYCEE LES ISCLES (GENERAL ET TECHNO.),MANOSQUE,04112,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,public,99.0,0040533H2021
17,17,2021,0050004C,LYCEE HONORE ROMANE,EMBRUN,05046,AIX-MARSEILLE,HAUTES-ALPES,public,98.0,0050004C2021
18,18,2021,0060033D,LYCEE HONORE D'ESTIENNE D'ORVES (GENERAL ET TECHNO.),NICE,06088,NICE,ALPES-MARITIMES,public,95.0,0060033D2021
19,19,2021,0060773H,LYCEE DON BOSCO,NICE,06088,NICE,ALPES-MARITIMES,privé sous contrat,100.0,0060773H2021
20,20,2021,0061642C,LYCEE INTERNATIONAL,VALBONNE,06152,NICE,ALPES-MARITIMES,public,100.0,0061642C2021
21,21,2021,0062015H,LYCEE SIMONE VEIL,VALBONNE,06152,NICE,ALPES-MARITIMES,public,99.0,0062015H2021
22,22,2021,0080007P,LYCEE SEVIGNE,CHARLEVILLE MEZIERES,08105,REIMS,ARDENNES,public,95.0,0080007P2021
23,23,2021,0080039Z,LYCEE PAUL VERLAINE (GENERAL ET TECHNO.),RETHEL,08362,REIMS,ARDENNES,public,98.0,0080039Z2021
24,24,2021,0080045F,LYCEE PIERRE BAYLE,SEDAN,08409,REIMS,ARDENNES,public,92.0,0080045F2021
25,25,2021,0080082W,LYCEE SAINT PAUL (GENERAL ET TECHNO.),CHARLEVILLE MEZIERES,08105,REIMS,ARDENNES,privé sous contrat,100.0,0080082W2021
26,26,2021,0090018W,LYCEE DU COUSERANS,ST GIRONS,09261,TOULOUSE,ARIEGE,public,98.0,0090018W2021
27,27,2021,0090036R,LYCEE NOTRE-DAME,PAMIERS,09225,TOULOUSE,ARIEGE,privé sous contrat,100.0,0090036R2021
28,28,2021,0110007Y,LYCEE JULES FIL (GENERAL ET TECHNO.),CARCASSONNE,11069,MONTPELLIER,AUDE,public,90.0,0110007Y2021
29,29,2021,0110045P,LYCEE SAINT LOUIS (GENERAL ET TECHNO.),CARCASSONNE,11069,MONTPELLIER,AUDE,privé sous contrat,99.0,0110045P2021
30,30,2021,0110670U,LYCEE BEAUSEJOUR,NARBONNE,11262,MONTPELLIER,AUDE,privé sous contrat,100.0,0110670U2021
31,31,2021,0120024L,LYCEE ALEXIS MONTEIL,RODEZ,12202,TOULOUSE,AVEYRON,public,97.0,0120024L2021
32,32,2021,0120051R,LYCEE JEANNE D'ARC,MILLAU,12145,TOULOUSE,AVEYRON,privé sous contrat,99.0,0120051R2021
33,33,2021,0120052S,LYCEE IMMACULEE CONCEPTION,ESPALION,12096,TOULOUSE,AVEYRON,privé sous contrat,98.0,0120052S2021
34,34,2021,0130010R,LYCEE MONTMAJOUR (GENERAL ET TECHNO.),ARLES,13004,AIX-MARSEILLE,BOUCHES-DU-RHONE,public,95.0,0130010R2021
35,35,2021,0130048G,LYCEE SAINT EXUPERY,MARSEILLE 15,13215,AIX-MARSEILLE,BOUCHES-DU-RHONE,public,92.0,0130048G2021
36,36,2021,0130143K,LYCEE PAUL LANGEVIN (GENERAL ET TECHNO.),MARTIGUES,13056,AIX-MARSEILLE,BOUCHES-DU-RHONE,public,94.0,0130143K2021
37,37,2021,0131327X,LYCEE TOUR SAINTE (DE),MARSEILLE 14,13214,AIX-MARSEILLE,BOUCHES-DU-RHONE,privé sous contrat,98.0,0131327X2021
38,38,2021,0131328Y,LYCEE MELIZAN,MARSEILLE 11,13211,AIX-MARSEILLE,BOUCHES-DU-RHONE,privé sous contrat,100.0,0131328Y2021
39,39,2021,0131335F,LYCEE CHEVREUL BLANCARDE,MARSEILLE 04,13204,AIX-MARSEILLE,BOUCHES-DU-RHONE,privé sous contrat,100.0,0131335F2021
40,40,2021,0131596P,LYCEE POILUS (BD DES),AIX EN PROVENCE,13001,AIX-MARSEILLE,BOUCHES-DU-RHONE,public,100.0,0131596P2021
41,41,2021,0132495S,LYCEE ARTHUR RIMBAUD,ISTRES,13047,AIX-MARSEILLE,BOUCHES-DU-RHONE,public,99.0,0132495S2021
42,42,2021,0132974M,LYCEE HOTELIER REGIONAL (GENERAL ET TECHNO.),MARSEILLE 08,13208,AIX-MARSEILLE,BOUCHES-DU-RHONE,public,100.0,0132974M2021
43,43,2021,0133288D,LYCEE JEAN MONNET (GENERAL ET TECHNO.),VITROLLES,13117,AIX-MARSEILLE,BOUCHES-DU-RHONE,public,99.0,0133288D2021
44,44,2021,0133314G,LYCEE ST LOUIS - STE MARIE,GIGNAC LA NERTHE,13043,AIX-MARSEILLE,BOUCHES-DU-RHONE,privé sous contrat,100.0,0133314G2021
45,45,2021,0140056K,LYCEE ALBERT SOREL (GENERAL ET TECHNO.),HONFLEUR,14333,NORMANDIE,CALVADOS,public,98.0,0140056K2021
46,46,2021,0141161L,LYCEE JEANNE D'ARC,CAEN,14118,NORMANDIE,CALVADOS,privé sous contrat,100.0,0141161L2021
47,47,2021,0142120D,LYCEE CHARLES TELLIER (GENERAL ET TECHNO.),CONDE EN NORMANDIE,14174,NORMANDIE,CALVADOS,public,95.0,0142120D2021
