Code INSEE,Type local,Valeur fonciere
01001,Maison,319333.3333333333
01002,Appartement,90000.0
01002,Maison,162900.0
01004,Appartement,179329.35483870967
01004,Maison,256139.53921568627
01005,Appartement,232000.0
01005,Maison,445135.67777777783
01007,Appartement,83000.0
01007,Maison,230890.5276190476
01008,Maison,182550.0
01009,Appartement,96000.0
01009,Maison,307666.6666666667
01010,Appartement,138819.11111111112
01010,Maison,224643.16666666666
01011,Appartement,140000.0
01011,Maison,207250.0
01012,Maison,162462.5
01013,Maison,64666.666666666664
01014,Appartement,93130.0
01014,Maison,205107.8947368421
01015,Maison,180700.0
01016,Maison,215000.0
01017,Appartement,90000.0
01017,Maison,119900.0
01021,Appartement,180000.0
01021,Maison,504741.875
01022,Appartement,98000.0
01022,Maison,194108.75
01023,Maison,155000.0
01024,Appartement,199488.88888888888
01024,Maison,269041.25
01025,Appartement,162333.33333333334
01025,Maison,250275.625
01026,Appartement,118000.0
01026,Maison,202000.0
01027,Maison,295272.06666666665
01028,Maison,283837.5
01029,Maison,166428.57142857142
01030,Appartement,39000.0
01030,Maison,218712.5
01031,Appartement,102634.375
01031,Maison,214683.33333333334
01032,Appartement,318735.71428571426
01032,Maison,328798.3157894737
01033,Appartement,185892.40231132074
01033,Maison,279155.86351351347
01034,Appartement,181462.80412371134
01034,Maison,242461.83673469388
01035,Appartement,186500.0
01035,Maison,174750.0
01036,Maison,198555.55555555556
01037,Maison,171200.0
01038,Maison,186666.66666666666
01039,Maison,127750.0
01040,Maison,157500.0
01041,Appartement,1000000.0
01041,Maison,217625.0
01042,Maison,228250.0
01043,Appartement,243900.0
01043,Maison,476092.6216216216
01044,Maison,265760.0
01045,Appartement,55000.0
01045,Maison,306000.0
01046,Maison,304205.0
01047,Maison,393084.6153846154
01049,Appartement,220285.7142857143
01049,Maison,331011.4516129032
01050,Maison,196900.0
01051,Maison,80000.0
01052,Maison,216650.0
01053,Appartement,163846.7643811075
01053,Maison,268881.78112
01054,Maison,311453.3333333333
01056,Appartement,7000.0
01056,Maison,155000.0
01057,Maison,254571.42857142858
01058,Appartement,149500.0
01058,Maison,244475.0
01061,Maison,312317.3888888889
01062,Maison,445776.6666666667
01063,Appartement,37500.0
01063,Maison,233333.33333333334
01064,Maison,187537.5
01065,Appartement,350000.0
01065,Maison,349673.0943478261
01066,Maison,99000.0
01067,Appartement,148000.0
01067,Maison,193000.0
01068,Appartement,65000.0
01068,Maison,49166.666666666664
01069,Appartement,170266.66666666666
01069,Maison,308548.3333333333
01071,Appartement,364112.14285714284
01071,Maison,752028.3105882353
01072,Appartement,241428.57142857142
01072,Maison,312010.363902439
01073,Maison,203982.35294117648
01074,Appartement,143857.14285714287
01074,Maison,281384.6153846154
01075,Appartement,298375.0
01075,Maison,388688.0
01076,Appartement,40000.0
01076,Maison,100000.0
01077,Maison,133000.0
01078,Appartement,450851.0
01078,Maison,703623.0769230769
01079,Maison,229458.2542857143
01080,Maison,185283.33333333334
01081,Appartement,235364.37333333332
01081,Maison,177842.77777777778
01082,Appartement,124700.0
01082,Maison,188040.0
01083,Maison,379943.5862068966
01084,Maison,194909.0909090909
01085,Maison,284000.0
01087,Maison,111666.66666666667
01088,Maison,339142.85714285716
01089,Appartement,775000.0
01089,Maison,225362.14285714287
01090,Maison,299352.125
01092,Appartement,159000.0
01092,Maison,236481.25
01093,Appartement,157612.90322580645
01093,Maison,354761.47063829785
01094,Maison,220390.0
01095,Appartement,103000.0
01095,Maison,98111.11111111111
01096,Appartement,181000.0
01096,Maison,232334.2857142857
01098,Maison,248819.64285714287
01099,Appartement,175000.0
01099,Maison,268005.3846153846
01100,Appartement,87500.0
